"Region","Size","Cores","MemoryGB"
"austriaeast","Standard_F2s_v2","2","4"
"austriaeast","Standard_D2ls_v5","2","4"
"austriaeast","Standard_D2lds_v5","2","4"
"austriaeast","Standard_B2ls_v2","2","4"
"austriaeast","Standard_D2als_v6","2","4"
"austriaeast","Standard_D2alds_v6","2","4"
"austriaeast","Standard_F2als_v6","2","4"
"austriaeast","Standard_B2als_v2","2","4"
"austriaeast","Standard_D2ls_v6","2","4"
"austriaeast","Standard_D2lds_v6","2","4"
"belgiumcentral","Standard_D2als_v6","2","4"
"belgiumcentral","Standard_D2alds_v6","2","4"
"belgiumcentral","Standard_F2als_v6","2","4"
"belgiumcentral","Standard_A2_v2","2","4"
"belgiumcentral","Standard_B2s","2","4"
"belgiumcentral","Standard_F2","2","4"
"belgiumcentral","Standard_F2s","2","4"
"belgiumcentral","Standard_F2s_v2","2","4"
"belgiumcentral","Standard_D2ls_v5","2","4"
"belgiumcentral","Standard_D2lds_v5","2","4"
"belgiumcentral","Standard_B2ls_v2","2","4"
"belgiumcentral","Standard_D2ls_v6","2","4"
"belgiumcentral","Standard_D2lds_v6","2","4"
"belgiumcentral","Standard_B2als_v2","2","4"
"denmarkeast","Standard_D2ls_v6","2","4"
"denmarkeast","Standard_D2lds_v6","2","4"
"denmarkeast","Standard_B2als_v2","2","4"
"denmarkeast","Standard_A2_v2","2","4"
"denmarkeast","Standard_B2s","2","4"
"denmarkeast","Standard_F2","2","4"
"denmarkeast","Standard_F2s","2","4"
"denmarkeast","Standard_F2s_v2","2","4"
"denmarkeast","Standard_D2ls_v5","2","4"
"denmarkeast","Standard_D2lds_v5","2","4"
"denmarkeast","Standard_B2ls_v2","2","4"
"francecentral","Standard_D2pls_v6","2","4"
"francecentral","Standard_D2plds_v6","2","4"
"francecentral","Standard_B2als_v2","2","4"
"francecentral","Standard_D2als_v6","2","4"
"francecentral","Standard_D2alds_v6","2","4"
"francecentral","Standard_F2als_v6","2","4"
"francecentral","Standard_D2ls_v6","2","4"
"francecentral","Standard_D2lds_v6","2","4"
"francecentral","Standard_A2_v2","2","4"
"francecentral","Standard_B2s","2","4"
"francecentral","Standard_F2","2","4"
"francecentral","Standard_F2s","2","4"
